id,season,matchday,date,home_team,away_team,home_goals,away_goals,result,source,scraped_at
4,2020,1,2020-08-22,Athletic Bilbao,Real Sociedad,2,1,H,Generated,2025-07-12T11:53:36.879748
2,2020,1,2020-08-22,Atlético Madrid,Sevilla,3,1,H,Generated,2025-07-12T11:53:36.879686
9,2020,1,2020-08-22,Cádiz,Elche,2,1,H,Generated,2025-07-12T11:53:36.880043
6,2020,1,2020-08-22,Espanyol,Getafe,3,2,H,Generated,2025-07-12T11:53:36.879953
10,2020,1,2020-08-22,Granada,Huesca,2,1,H,Generated,2025-07-12T11:53:36.880067
7,2020,1,2020-08-22,Levante,Osasuna,4,2,H,Generated,2025-07-12T11:53:36.879991
8,2020,1,2020-08-22,Mallorca,Alavés,2,1,H,Generated,2025-07-12T11:53:36.880019
5,2020,1,2020-08-22,Real Betis,Celta Vigo,1,1,D,Generated,2025-07-12T11:53:36.879865
1,2020,1,2020-08-22,Real Madrid,Barcelona,1,2,A,Generated,2025-07-12T11:53:36.879626
3,2020,1,2020-08-22,Valencia,Villarreal,3,2,H,Generated,2025-07-12T11:53:36.879721
14,2020,2,2020-08-29,Athletic Bilbao,Real Sociedad,0,1,A,Generated,2025-07-12T11:53:36.880170
12,2020,2,2020-08-29,Atlético Madrid,Sevilla,3,3,D,Generated,2025-07-12T11:53:36.880126
19,2020,2,2020-08-29,Cádiz,Elche,1,2,A,Generated,2025-07-12T11:53:36.880278
16,2020,2,2020-08-29,Espanyol,Getafe,2,1,H,Generated,2025-07-12T11:53:36.880214
20,2020,2,2020-08-29,Granada,Huesca,1,1,D,Generated,2025-07-12T11:53:36.880300
17,2020,2,2020-08-29,Levante,Osasuna,2,3,A,Generated,2025-07-12T11:53:36.880235
18,2020,2,2020-08-29,Mallorca,Alavés,1,0,H,Generated,2025-07-12T11:53:36.880257
15,2020,2,2020-08-29,Real Betis,Celta Vigo,2,1,H,Generated,2025-07-12T11:53:36.880192
11,2020,2,2020-08-29,Real Madrid,Barcelona,2,2,D,Generated,2025-07-12T11:53:36.880101
13,2020,2,2020-08-29,Valencia,Villarreal,1,1,D,Generated,2025-07-12T11:53:36.880148
24,2020,3,2020-09-05,Athletic Bilbao,Real Sociedad,1,0,H,Generated,2025-07-12T11:53:36.880387
22,2020,3,2020-09-05,Atlético Madrid,Sevilla,2,2,D,Generated,2025-07-12T11:53:36.880345
29,2020,3,2020-09-05,Cádiz,Elche,2,1,H,Generated,2025-07-12T11:53:36.880511
26,2020,3,2020-09-05,Espanyol,Getafe,1,3,A,Generated,2025-07-12T11:53:36.880445
30,2020,3,2020-09-05,Granada,Huesca,2,1,H,Generated,2025-07-12T11:53:36.880532
27,2020,3,2020-09-05,Levante,Osasuna,1,1,D,Generated,2025-07-12T11:53:36.880467
28,2020,3,2020-09-05,Mallorca,Alavés,2,1,H,Generated,2025-07-12T11:53:36.880489
25,2020,3,2020-09-05,Real Betis,Celta Vigo,0,0,D,Generated,2025-07-12T11:53:36.880408
21,2020,3,2020-09-05,Real Madrid,Barcelona,3,1,H,Generated,2025-07-12T11:53:36.880323
23,2020,3,2020-09-05,Valencia,Villarreal,2,0,H,Generated,2025-07-12T11:53:36.880365
34,2020,4,2020-09-12,Athletic Bilbao,Real Sociedad,2,0,H,Generated,2025-07-12T11:53:36.880622
32,2020,4,2020-09-12,Atlético Madrid,Sevilla,3,1,H,Generated,2025-07-12T11:53:36.880578
39,2020,4,2020-09-12,Cádiz,Elche,0,1,A,Generated,2025-07-12T11:53:36.880727
36,2020,4,2020-09-12,Espanyol,Getafe,1,3,A,Generated,2025-07-12T11:53:36.880664
40,2020,4,2020-09-12,Granada,Huesca,1,1,D,Generated,2025-07-12T11:53:36.880748
37,2020,4,2020-09-12,Levante,Osasuna,2,2,D,Generated,2025-07-12T11:53:36.880685
38,2020,4,2020-09-12,Mallorca,Alavés,1,2,A,Generated,2025-07-12T11:53:36.880706
35,2020,4,2020-09-12,Real Betis,Celta Vigo,1,2,A,Generated,2025-07-12T11:53:36.880642
31,2020,4,2020-09-12,Real Madrid,Barcelona,2,1,H,Generated,2025-07-12T11:53:36.880556
33,2020,4,2020-09-12,Valencia,Villarreal,3,0,H,Generated,2025-07-12T11:53:36.880599
44,2020,5,2020-09-19,Athletic Bilbao,Real Sociedad,1,3,A,Generated,2025-07-12T11:53:36.880840
42,2020,5,2020-09-19,Atlético Madrid,Sevilla,3,0,H,Generated,2025-07-12T11:53:36.880797
49,2020,5,2020-09-19,Cádiz,Elche,1,3,A,Generated,2025-07-12T11:53:36.880945
46,2020,5,2020-09-19,Espanyol,Getafe,2,0,H,Generated,2025-07-12T11:53:36.880882
50,2020,5,2020-09-19,Granada,Huesca,3,3,D,Generated,2025-07-12T11:53:36.880965
47,2020,5,2020-09-19,Levante,Osasuna,3,2,H,Generated,2025-07-12T11:53:36.880903
48,2020,5,2020-09-19,Mallorca,Alavés,3,2,H,Generated,2025-07-12T11:53:36.880924
45,2020,5,2020-09-19,Real Betis,Celta Vigo,0,1,A,Generated,2025-07-12T11:53:36.880861
41,2020,5,2020-09-19,Real Madrid,Barcelona,1,1,D,Generated,2025-07-12T11:53:36.880772
43,2020,5,2020-09-19,Valencia,Villarreal,3,2,H,Generated,2025-07-12T11:53:36.880818
54,2020,6,2020-09-26,Athletic Bilbao,Real Sociedad,2,1,H,Generated,2025-07-12T11:53:36.881075
52,2020,6,2020-09-26,Atlético Madrid,Sevilla,3,0,H,Generated,2025-07-12T11:53:36.881010
59,2020,6,2020-09-26,Cádiz,Elche,1,2,A,Generated,2025-07-12T11:53:36.881159
56,2020,6,2020-09-26,Espanyol,Getafe,2,0,H,Generated,2025-07-12T11:53:36.881109
60,2020,6,2020-09-26,Granada,Huesca,2,2,D,Generated,2025-07-12T11:53:36.881176
57,2020,6,2020-09-26,Levante,Osasuna,1,1,D,Generated,2025-07-12T11:53:36.881126
58,2020,6,2020-09-26,Mallorca,Alavés,1,0,H,Generated,2025-07-12T11:53:36.881143
55,2020,6,2020-09-26,Real Betis,Celta Vigo,2,0,H,Generated,2025-07-12T11:53:36.881092
51,2020,6,2020-09-26,Real Madrid,Barcelona,1,1,D,Generated,2025-07-12T11:53:36.880989
53,2020,6,2020-09-26,Valencia,Villarreal,1,2,A,Generated,2025-07-12T11:53:36.881041
64,2020,7,2020-10-03,Athletic Bilbao,Real Sociedad,3,1,H,Generated,2025-07-12T11:53:36.881244
62,2020,7,2020-10-03,Atlético Madrid,Sevilla,3,3,D,Generated,2025-07-12T11:53:36.881212
