id,season,matchday,date,home_team,away_team,home_goals,away_goals,result,source_url,scraped_at,data_hash
1,2021,1,2021-08-15,Valencia,Elche,2,1,H,https://example.com/2021/matchday/1,2025-07-12T12:02:47.116281,cd8efa941f446c1ba01f3c07daa66e68
2,2021,1,2021-08-15,Atlético Madrid,Real Betis,3,1,H,https://example.com/2021/matchday/1,2025-07-12T12:02:47.116361,5f219d1a695b5e147146d8573e511ccf
3,2021,1,2021-08-15,Real Madrid,Sevilla,0,2,A,https://example.com/2021/matchday/1,2025-07-12T12:02:47.116401,04e1463bf1704f7f491f9c00fc3036c4
4,2021,1,2021-08-15,Getafe,Osasuna,1,1,D,https://example.com/2021/matchday/1,2025-07-12T12:02:47.116430,7b95a7e273b5c2e6e16b26e552fd493b
5,2021,1,2021-08-15,Granada,Mallorca,1,1,D,https://example.com/2021/matchday/1,2025-07-12T12:02:47.116457,0fbd2cefeb2617cff741811af6ef2089
6,2021,1,2021-08-15,Espanyol,Athletic Bilbao,2,2,D,https://example.com/2021/matchday/1,2025-07-12T12:02:47.116482,e219f2c38a1bed168d9c3b39aaef93d3
7,2021,1,2021-08-15,Cádiz,Alavés,1,3,A,https://example.com/2021/matchday/1,2025-07-12T12:02:47.116506,f3302ad9600ee497f01d7a8af6507647
8,2021,1,2021-08-15,Levante,Huesca,2,2,D,https://example.com/2021/matchday/1,2025-07-12T12:02:47.116529,8d130e9b36d1506702ca17fcb4a47b88
9,2021,1,2021-08-15,Real Sociedad,Villarreal,0,1,A,https://example.com/2021/matchday/1,2025-07-12T12:02:47.116552,7cc4033056ffba5514f44c749b9cb111
10,2021,1,2021-08-15,Celta Vigo,Barcelona,3,0,H,https://example.com/2021/matchday/1,2025-07-12T12:02:47.116644,14529d10c3750855a7ef74b58714ae99
761,2021,1,2021-08-15,Real Sociedad,Real Madrid,1,1,D,https://example.com/2021/matchday/1,2025-07-12T12:18:52.074174,34457e511dc3ae59905f1f1c93932971
762,2021,1,2021-08-15,Espanyol,Villarreal,1,0,H,https://example.com/2021/matchday/1,2025-07-12T12:18:52.074316,b7d9a97a8e976c3789a4d9e427fa70c0
763,2021,1,2021-08-15,Real Betis,Elche,3,0,H,https://example.com/2021/matchday/1,2025-07-12T12:18:52.074439,3712dd57fcfed2820beabd6feb108629
764,2021,1,2021-08-15,Cádiz,Levante,3,3,D,https://example.com/2021/matchday/1,2025-07-12T12:18:52.074493,115c6e4fb23293d2ac9e3615617d7e02
765,2021,1,2021-08-15,Alavés,Mallorca,0,0,D,https://example.com/2021/matchday/1,2025-07-12T12:18:52.074528,ae1558685b066f400a30848239ecf242
766,2021,1,2021-08-15,Huesca,Athletic Bilbao,1,2,A,https://example.com/2021/matchday/1,2025-07-12T12:18:52.074559,13343816ea730e0461e41cc9c08e08ed
767,2021,1,2021-08-15,Barcelona,Sevilla,1,2,A,https://example.com/2021/matchday/1,2025-07-12T12:18:52.074665,58687d499281c40f5ea9e0b57750dbe2
768,2021,1,2021-08-15,Osasuna,Atlético Madrid,2,3,A,https://example.com/2021/matchday/1,2025-07-12T12:18:52.074764,18942848de8225ab751c6f2f161d28e4
769,2021,1,2021-08-15,Granada,Getafe,1,1,D,https://example.com/2021/matchday/1,2025-07-12T12:18:52.074815,df5216252c11ff2e2891fa63e99ef81d
770,2021,1,2021-08-15,Celta Vigo,Valencia,2,1,H,https://example.com/2021/matchday/1,2025-07-12T12:18:52.074847,13ba4aa4fecfcff594e1efee00a1a95a
11,2021,2,2021-08-22,Huesca,Osasuna,1,4,A,https://example.com/2021/matchday/2,2025-07-12T12:02:47.116758,7796c216d8df33982a5fafab1e6cd6a6
12,2021,2,2021-08-22,Granada,Barcelona,0,2,A,https://example.com/2021/matchday/2,2025-07-12T12:02:47.116929,7400248977a47cf00aa29984c8439b3f
13,2021,2,2021-08-22,Villarreal,Elche,1,0,H,https://example.com/2021/matchday/2,2025-07-12T12:02:47.116985,c4efa862111c858c7d2055ca205ce000
14,2021,2,2021-08-22,Real Betis,Espanyol,2,1,H,https://example.com/2021/matchday/2,2025-07-12T12:02:47.117019,5f0cb35aa2382ba0192742783f5df2cf
15,2021,2,2021-08-22,Valencia,Athletic Bilbao,2,1,H,https://example.com/2021/matchday/2,2025-07-12T12:02:47.117047,fdea4ef42d7cdaa7ba0b60d06a5913bc
16,2021,2,2021-08-22,Cádiz,Real Madrid,1,3,A,https://example.com/2021/matchday/2,2025-07-12T12:02:47.117074,9bc6113d8c1db9d672bf72b78ec14387
17,2021,2,2021-08-22,Mallorca,Alavés,1,2,A,https://example.com/2021/matchday/2,2025-07-12T12:02:47.117099,b54179d883f6f03946bf8fe0f4e45e66
18,2021,2,2021-08-22,Levante,Getafe,3,1,H,https://example.com/2021/matchday/2,2025-07-12T12:02:47.117125,7177d72dc385346055375ecfef33edfe
19,2021,2,2021-08-22,Atlético Madrid,Real Sociedad,2,2,D,https://example.com/2021/matchday/2,2025-07-12T12:02:47.117159,a977f2081a7f7f068fe8fa209d576a08
20,2021,2,2021-08-22,Celta Vigo,Sevilla,4,2,H,https://example.com/2021/matchday/2,2025-07-12T12:02:47.117185,fd3c7198058090e9e071a82cd7f2ee7f
771,2021,2,2021-08-22,Getafe,Celta Vigo,2,2,D,https://example.com/2021/matchday/2,2025-07-12T12:18:52.074894,09639a74a00821c565ce2ba759d505e0
772,2021,2,2021-08-22,Elche,Barcelona,3,1,H,https://example.com/2021/matchday/2,2025-07-12T12:18:52.074922,a907b8865f0725b55dde9f243d2478b0
773,2021,2,2021-08-22,Osasuna,Atlético Madrid,3,4,A,https://example.com/2021/matchday/2,2025-07-12T12:18:52.074949,dfaccc547b278ed172d90364aa39e396
774,2021,2,2021-08-22,Granada,Real Sociedad,0,1,A,https://example.com/2021/matchday/2,2025-07-12T12:18:52.074976,fcac2f25d041adc0df2271191fe8f3fb
775,2021,2,2021-08-22,Valencia,Huesca,2,2,D,https://example.com/2021/matchday/2,2025-07-12T12:18:52.075003,d16a430022c1c52fb6be56e94a7c07e6
776,2021,2,2021-08-22,Sevilla,Villarreal,2,2,D,https://example.com/2021/matchday/2,2025-07-12T12:18:52.075026,9b79b59bf277ab2d5bdbe6041ffef854
777,2021,2,2021-08-22,Real Madrid,Real Betis,0,4,A,https://example.com/2021/matchday/2,2025-07-12T12:18:52.075049,32270961f04f9e88846190235b4c1a36
778,2021,2,2021-08-22,Espanyol,Cádiz,0,0,D,https://example.com/2021/matchday/2,2025-07-12T12:18:52.075072,4312d15bbc13761de758dda3f0f83ad7
